Countries,Aexp,THI,TOE,GDP,HDI,LPI,FSB,FSE,FSM,FSPo,FSPi,RD,Cluster,NumExp
Alg,15.19565758,4.404543113,3.401197382,6.525610134,0.556649106,4.997617597,3.258096538,3.33220451,5.231108617,3.295836866,0,0.063950848,2,2
Ang,13.8725363,4.3913686,3.465735903,5.320240293,0.427159409,4.942641923,3.610917913,1.609437912,2.890371758,4.077537444,4.49980967,0,1,2
Arg,16.05287071,4.251073202,3.688879454,6.807428738,0.602777078,4.682131227,5.84932478,3.737669618,4.836281907,5.117993812,4.394449155,0.427056983,3,3
Aus,15.87125016,4.383789742,3.663561646,7.219521242,0.665168914,4.634923144,4.663439094,3.496507561,5.351858133,5.231108617,4.718498871,1.072596801,3,3
Azerb,13.83461651,4.200568845,3.610917913,5.237823986,0.5647665,5.211724084,4.356708827,3.465735903,5.056245805,3.583518938,1.098612289,0.187615851,2,2
Bang,18.42578905,4.432158054,3.295836866,6.731719525,0.457443834,4.91910463,1.945910149,2.302585093,3.555348061,1.945910149,0,0,1,6
Beli,11.80944878,4.427127406,3.526360525,1.508511994,0.534453865,4.779543573,3.258096538,2.890371758,4.406719247,4.804021045,4.465908119,0,2,1
Benin,16.63574079,4.469267126,3.433987204,3.73090872,0.39555483,4.922313969,2.833213344,1.386294361,2.708050201,3.970291914,1.791759469,0,1,4
Bol,15.71722732,4.390964176,3.465735903,4.557994717,0.515362915,4.915884958,4.553876892,2.944438979,4.189654742,5.003946306,3.688879454,0.145830448,2,3
Bots,12.04781767,4.407850826,3.401197382,3.809613686,0.528916198,4.787825021,3.583518938,2.079441542,5.257495372,2.944438979,1.945910149,0.430014621,1,1
Bra,19.46359269,4.441842624,3.583518938,8.148259703,0.543065295,4.852030264,5.087596335,3.526360525,5.501258211,5.262690189,4.532599493,0.817919071,3,6
Burk,17.79257985,4.480490654,3.295836866,3.766349625,0.337928319,4.444884056,3.17805383,2.302585093,4.094344562,2.197224577,2.833213344,0.200349735,1,5
Camb,16.78628238,4.4651225,3.33220451,4.355862315,0.448013611,4.502361966,3.091042453,1.791759469,1.791759469,2.302585093,4.17438727,0,1,4
Came,16.68929858,4.425679195,3.465735903,4.623834911,0.416575822,4.839451482,3.135494216,0.693147181,3.36729583,2.48490665,2.564949357,0,1,4
CAR,15.16858533,4.442237948,3.36729583,1.660511183,0.302179475,4.861980595,4.143134726,1.098612289,3.17805383,1.791759469,3.496507561,0,1,2
Chad,16.59468887,4.474499931,3.465735903,3.489208259,0.334811573,4.771785713,3.526360525,0.693147181,3.663561646,0.693147181,0,0.279274326,1,4
Chile,9.948243705,4.103350487,3.688879454,6.222270666,0.606629682,4.714472921,4.762173935,3.610917913,4.382026635,5.036952602,5.187385806,0.30927721,3,1
China,19.69352748,4.113044932,3.583518938,10.21500298,0.535982129,4.87847439,3.401197382,4.33073334,4.025351691,4.189654742,5.910796644,1.134063084,4,6
Col,17.80428935,4.428342061,3.63758616,6.664411571,0.546345266,4.758835034,4.574710979,3.663561646,5.117993812,4.564348191,3.688879454,0.238662507,2,5
CRica,15.8117668,4.412545752,3.713572067,4.528407925,0.574241452,4.853669545,3.931825633,3.663561646,5.613128106,4.442651256,3.526360525,0.376894151,2,3
Cypr,10.64320592,4.308811352,3.63758616,3.61813505,0.618423634,4.498252904,3.401197382,3.583518938,5.262690189,4.454347296,5.117993812,0.433320194,3,1
Djib,13.72615853,4.473144003,3.401197382,1.946481414,0.386684518,4.90342121,3.988984047,1.386294361,4.644390899,2.079441542,0.693147181,0,1,1
Drep,15.69520182,4.405273654,3.871201011,5.309583663,0.543262223,4.712319102,4.077537444,3.295836866,4.574710979,4.564348191,3.583518938,0,2,3
Ecua,16.26785668,4.378558227,3.784189634,5.317006629,0.55330391,4.829513018,4.59511985,3.401197382,5.099866428,4.553876892,3.891820298,0.366488632,2,3
Esalv,14.71582073,4.422639527,3.496507561,4.038320799,0.499646166,4.72357525,3.135494216,3.555348061,4.955827058,4.234106505,2.833213344,0.136818484,2,2
Ethi,17.04652187,4.398587899,3.610917913,5.485493786,0.370114921,4.79678179,3.135494216,0.693147181,4.234106505,1.098612289,0,0.47296175,1,5
Fiji,14.41595595,4.3831533,3.610917913,2.473845702,0.551583616,4.7065528,3.912023005,3.295836866,4.077537444,4.276666119,3.713572067,0,2,2
Gabon,13.15563344,4.427017364,3.761200116,3.704949634,0.528041968,4.747103682,3.135494216,1.609437912,3.850147602,4.718498871,4.290459441,0.456943719,2,1
Ghana,17.06233742,4.461229536,3.465735903,5.351118524,0.456331845,4.910299172,1.791759469,1.609437912,1.945910149,2.995732274,2.302585093,0.319580369,1,5
Guat,16.35814722,4.395519458,3.526360525,5.039041329,0.494980348,4.846075067,3.135494216,3.970291914,3.871201011,4.060443011,2.833213344,0,2,3
Guinea,16.52594633,4.435475122,3.33220451,3.534124425,0.346682788,4.920272854,3.526360525,2.079441542,3.583518938,1.945910149,0.693147181,0,1,4
GuinB,14.69450077,4.454967499,3.401197382,1.522790106,0.353648168,4.874128049,3.091042453,1.098612289,3.63758616,1.945910149,4.356708827,0,1,2
Guya,14.1327806,4.451800031,3.583518938,2.096175741,0.493531539,4.979694871,2.944438979,1.386294361,4.941642423,5.043425117,3.135494216,0,2,2
Haiti,13.53020902,4.418653843,3.850147602,3.096662992,0.40354727,4.656338473,3.33220451,1.098612289,3.761200116,3.295836866,3.33220451,0,2,1
Hond,15.94103068,4.397804901,3.496507561,3.965696465,0.485580429,4.7051965,3.36729583,2.944438979,4.859812404,4.465908119,3.526360525,0.014859055,2,3
India,20.30327583,4.409496947,3.63758616,9.334915313,0.493450344,5.03506771,1.386294361,2.397895273,4.574710979,1.945910149,1.386294361,0.482376765,4,6
Indon,18.75073817,4.43538325,3.931825633,8.226435461,0.518587224,4.983469626,2.708050201,3.044522438,2.48490665,3.295836866,3.401197382,0.214603186,2,6
Iraq,17.04719312,4.399017949,3.555348061,6.559698803,0.500886191,4.835726197,2.833213344,3.663561646,3.091042453,3.970291914,0,0.035666327,2,5
